Time	Speed(ms)	Daylight	
2021-09-07 08:42:37.831699	2.976934709867943	Morning
2021-09-07 08:42:39.113844	1.9865471030183597	Morning
2021-09-07 08:42:41.051219	1.9788715880543437	Morning
2021-09-07 08:42:42.348988	2.9885121592598054	Morning
2021-09-07 08:42:46.396580	1.9885084098991925	Morning
2021-09-07 08:42:47.537131	1.982706831019845	Morning
2021-09-07 08:42:49.926629	1.9846192011907717	Morning
2021-09-07 08:42:51.503674	4.928186466805707	Morning
2021-09-07 08:42:52.684264	3.9963553239445626	Morning
2021-09-07 08:42:53.707636	1.9846192011907717	Morning
2021-09-07 08:42:54.739809	2.95683902081319	Morning
2021-09-07 08:42:55.784650	2.9943496621874526	Morning
2021-09-07 08:42:56.801187	3.94631044637704	Morning
2021-09-07 08:42:57.848983	2.9913937601520426	Morning
2021-09-07 08:42:59.052020	1.9731474365361792	Morning
2021-09-07 08:43:21.957792	1.9923196079115013	Morning
2021-09-07 08:43:22.987989	12.988128850230888	Morning
2021-09-07 08:43:24.003552	1.9731454898826968	Morning
2021-09-07 08:43:25.019107	2.988550861649023	Morning
2021-09-07 08:44:12.535600	1.9884728230448092	Morning
2021-09-07 08:44:22.582807	0.9913494843991332	Morning
2021-09-07 08:44:24.815084	4.96156277319605	Morning
2021-09-07 08:44:44.605823	0.9222124080605463	Morning
2021-09-07 08:44:45.628207	4.9424012557653105	Morning
2021-09-07 08:44:46.656463	56.94794957408928	Morning
2021-09-07 08:44:47.661280	1.9942883581422806	Morning
2021-09-07 08:44:48.798902	1.9731513298546677	Morning
2021-09-07 08:44:49.815438	1.996229123186301	Morning
2021-09-07 08:44:51.392485	2.9828189627744193	Morning
2021-09-07 08:44:52.399259	5.982847177143131	Morning
2021-09-07 08:44:53.409935	1.9846251092784202	Morning
2021-09-07 08:44:54.488967	2.976934709867943	Morning
2021-09-07 08:44:55.848256	2.974057298187907	Morning
2021-09-07 08:44:56.859910	1.9943102329055205	Morning
2021-09-07 08:44:57.878399	1.9788676721293306	Morning
2021-09-07 08:44:58.892017	2.991396742967226	Morning
2021-09-07 08:44:59.926121	2.959773715433543	Morning
2021-09-07 08:45:01.436766	1.9949288907596887	Morning
2021-09-07 08:45:02.441583	2.9914713152801364	Morning
2021-09-07 08:45:03.458120	0.9913494843991332	Morning
2021-09-07 08:45:05.551736	1.9750550546596488	Morning
2021-09-07 08:45:06.660063	2.9683426258948318	Morning
2021-09-07 08:45:07.705893	2.9943436847794516	Morning
2021-09-07 08:45:08.958747	1.9769565939410232	Morning
2021-09-07 08:45:10.050472	2.9972575093789184	Morning
2021-09-07 08:45:25.253600	2.971206042244608	Morning
2021-09-07 08:45:26.277948	4.9857159238780895	Morning
2021-09-07 08:45:27.315977	1.9904280315960545	Morning
2021-09-07 08:45:28.364742	2.971135419400524	Morning
2021-09-07 08:45:29.377359	1.9865589421970944	Morning
2021-09-07 08:46:02.676986	1.9732428272623228	Morning
2021-09-07 08:46:03.988426	2.9625796563605102	Morning
2021-09-07 08:46:05.395562	1.9732175186197738	Morning
2021-09-07 08:46:06.482407	3.992462231307292	Morning
2021-09-07 08:46:07.488202	2.9827151656152595	Morning
2021-09-07 08:46:08.500832	1.994296312546118	Morning
2021-09-07 08:46:09.504674	1.9942883581422806	Morning
2021-09-07 08:46:10.547575	2.97693766391763	Morning
2021-09-07 08:46:11.692034	5.953869419735886	Morning
2021-09-07 08:46:12.728101	1.9962271307229338	Morning
2021-09-07 08:46:13.737802	5.953869419735886	Morning
2021-09-07 08:46:14.942802	1.9884787540987516	Morning
2021-09-07 08:46:16.019882	2.9711942715374446	Morning
2021-09-07 08:46:17.331321	2.9799656906616816	Morning
2021-09-07 08:46:18.440625	1.9807981428036612	Morning
2021-09-07 08:46:19.466928	5.9945210077988715	Morning
2021-09-07 08:46:20.489323	1.9904082227744502	Morning
2021-09-07 08:46:22.051723	2.991441485908815	Morning
2021-09-07 08:46:43.081639	2.9682662653570677	Morning
2021-09-07 08:46:44.113787	1.9712532143747727	Morning
2021-09-07 08:46:46.660499	2.9540613913038336	Morning
2021-09-07 08:46:48.616428	1.994308244270851	Morning
2021-09-07 08:46:49.654447	1.9846270786487865	Morning
2021-09-07 08:46:50.676843	1.992361286826308	Morning
2021-09-07 08:47:38.349573	4.9857159238780895	Morning
2021-09-07 08:47:39.364156	1.97315522318852	Morning
2021-09-07 08:47:41.317157	1.9788735460226623	Morning
2021-09-07 08:47:42.535830	1.9865451298356236	Morning
2021-09-07 08:47:45.112812	1.9846211705494126	Morning
2021-09-07 08:47:46.300262	2.9682310233570104	Morning
2021-09-07 08:47:54.941286	5.971218725741924	Morning
2021-09-07 08:47:56.285925	2.976934709867943	Morning
2021-09-07 08:47:57.457726	2.962576730737326	Morning
2021-09-07 08:47:58.536758	1.975051153824884	Morning
2021-09-07 08:48:00.796383	7.9771057066219955	Morning
2021-09-07 08:48:01.803165	1.9903804910865783	Morning
