Key	Press_Time	Relase_Time	Daylight	
$	2021-09-07 09:42:43.674532	2021-09-07 09:42:43.804408	Morning
ctrl_l	2021-09-07 09:42:43.321040	2021-09-07 09:42:43.870811	Morning
$	2021-09-07 09:42:45.650969	2021-09-07 09:42:45.792561	Morning
ctrl_l	2021-09-07 09:42:45.159793	2021-09-07 09:42:45.840409	Morning
$	2021-09-07 09:42:46.999517	2021-09-07 09:42:47.160640	Morning
ctrl_l	2021-09-07 09:42:46.382368	2021-09-07 09:42:47.280747	Morning
$	2021-09-07 09:44:33.400909	2021-09-07 09:44:33.495629	Morning
shift	2021-09-07 09:44:33.158737	2021-09-07 09:44:33.602116	Morning
$	2021-09-07 09:44:33.902830	2021-09-07 09:44:33.996573	Morning
$	2021-09-07 09:44:36.214207	2021-09-07 09:44:36.404623	Morning
$	2021-09-07 09:44:37.049114	2021-09-07 09:44:37.152623	Morning
shift	2021-09-07 09:44:34.322724	2021-09-07 09:44:37.312767	Morning
$	2021-09-07 09:44:38.314657	2021-09-07 09:44:38.473827	Morning
shift_r	2021-09-07 09:44:37.831289	2021-09-07 09:44:38.568551	Morning
$	2021-09-07 09:44:38.793143	2021-09-07 09:44:38.958171	Morning
shift	2021-09-07 09:44:38.605653	2021-09-07 09:44:39.024572	Morning
$	2021-09-07 09:44:39.946389	2021-09-07 09:44:40.036228	Morning
$	2021-09-07 09:44:40.091888	2021-09-07 09:44:40.203207	Morning
$	2021-09-07 09:44:43.646348	2021-09-07 09:44:43.786981	Morning
ctrl_l	2021-09-07 09:44:42.787029	2021-09-07 09:44:43.853370	Morning
$	2021-09-07 09:44:45.220501	2021-09-07 09:44:45.350341	Morning
ctrl_l	2021-09-07 09:44:44.764440	2021-09-07 09:44:45.406978	Morning
$	2021-09-07 09:46:30.909013	2021-09-07 09:46:31.079899	Morning
$	2021-09-07 09:46:31.598421	2021-09-07 09:46:31.766380	Morning
ctrl_l	2021-09-07 09:46:30.616064	2021-09-07 09:46:32.640346	Morning
$	2021-09-07 09:46:33.994761	2021-09-07 09:46:34.174430	Morning
ctrl_l	2021-09-07 09:46:33.729144	2021-09-07 09:46:34.240832	Morning
